Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
278,8.4,8.2,6.3,7.9,8.7,6.8,9.1,8.5,9.5,9.1,7.2,7,8.1,8.2,0,K
279,8.7,8.3,7,7.6,9.1,8.1,9.1,9.2,8.1,8.7,6.9,7,8,8.2,0,G
280,8.8,8.5,7.4,7.4,9.2,7.2,8.9,8.7,8.9,8.4,8.9,7,8.2,8.4,3,G
281,9.5,9,7.5,8.2,9,7.3,8.8,7.8,7.7,8.6,6.9,7,8,8.2,1,G
282,6.6,6.5,5.5,6.7,8.4,6.9,7.9,6.8,7.7,7.4,7.2,7,8.3,7.2,7,K
283,7.8,7.8,6.6,7.5,8.2,7.5,9.2,8.2,6.4,8.6,6.9,7,8.3,7.8,0,K
284,7,8.1,6.7,7.2,8.6,7.4,8.6,8.3,6.9,7.8,9.2,7,8.4,7.9,3,K
285,8.8,8.8,7.1,8.9,9.4,7.3,8.9,8.1,8.5,7.9,9,7,8.2,8.4,2,G
286,8,8.3,6.4,6.9,8.8,6.6,8.5,8.4,6.6,7.7,7.8,7,8.6,7.7,0,K
287,9.1,8.6,6.9,7.8,8.8,7.7,8.9,8.8,8.8,7.6,9.1,7,7.9,8.3,1,G
288,9.5,9.4,8.1,8.3,8.9,7.8,9.6,8.4,9,8.5,9.2,7,8,8.7,0,G
289,9.3,7.3,5.9,6.8,8.7,6.4,8.9,8.1,7.5,7.9,7.8,7,7.9,7.7,3,K
290,8.2,7.1,7,7.4,8.9,7.1,8.8,8,8.1,8.8,8.7,7,8.3,8,3,G
291,9.7,8.7,6.5,7.1,8.8,6.6,8.9,8,8,8.2,8.5,7,8,8.1,0,G
292,8.4,7.5,7.2,8.1,8.9,6.5,8.1,7.3,6.3,8.5,8.6,7,8.1,7.8,4,K
293,9.8,8.8,7,8.7,9,7.7,9.1,8.9,9,8.8,9.4,7,8.2,8.7,3,G
294,8,7.1,7,6.9,8.7,8.4,9.3,8.7,7.3,8.8,8.4,7,8.8,8.1,4,G
295,8.5,8.4,6.9,8.4,8.9,7.4,9,8.1,8.7,8,8.7,7,8,8.3,1,G
296,5.8,6.7,6,6.8,8.3,7.2,7.5,7.1,8.5,7.3,6.7,7,8,7.2,1,K
297,8.5,8.2,6.5,8.5,9.3,7.5,8.9,8.4,8.6,8.3,8.8,7,8.2,8.3,6,G
298,8.7,9.3,7.5,8.3,9.3,8,9.5,7.9,8.4,9.1,9.4,7,8.3,8.6,0,G
299,7.7,7.3,6.2,7.1,8.7,7.5,8.8,7.2,7.6,8.2,7.5,7,8,7.7,3,K
300,9.3,9,8.4,8.2,9.2,7.4,9.3,8.4,8.5,8.6,8.9,7,8,8.6,0,G
301,8.3,7.1,5.7,6.9,8.9,6.7,8.7,7.2,7.4,6.9,8.8,7,7.7,7.5,4,K
302,7.4,6.8,6.3,5.7,8.2,5.9,7.1,7.6,5.4,8.3,7.3,7,8.1,7,8,K
303,8.3,9.1,7,8.5,8.2,7,8.9,7.4,8.1,8.5,8.5,7,8.1,8.1,2,G
304,8.5,8.9,8.4,8.8,9.3,7.2,9.2,8.1,8.1,8.5,9,7,8.2,8.5,7,G

